Designator,Mid X,Mid Y,Layer,Rotation
C101,-6.773089,0.385589,T,-45
C201,0.998089,-9.060589,T,-45
C202,-10.0875,-5.775,T,135
C203,-2.751911,-1.035589,T,135
C204,1.7125,-8.35,T,-45
C205,-12.226911,-12.060589,T,-45
C206,-9.691287,-12.446213,T,-45
C207,0.158678,-11.95,T,-135
C208,-8.991287,-11.746213,T,135
C301,6.5625,-8.65,T,0
C302,10.3775,-10.775,T,0
C303,9.7375,-15.35,T,90
C304,3.6875,-16.35,T,90
C401,-1.751911,2.010589,T,-135
C501,-1.2125,8.3,T,-90
C502,-1.2125,10.275,T,-90
C601,9.8375,-7.175,T,-90
C602,9.8625,-1.75,T,90
C701,6.5875,-15.675,T,0
C702,10.8875,2.775,T,90
C703,9.7125,11.65,T,180
C704,9.7125,9.225,T,180
C705,12.9875,8.97,T,-90
C706,3.9125,2.775,T,90
C707,12.9875,10.875,T,90
D101,9.7125,14.1,T,180
D201,-0.401911,-10.585589,T,-135
D301,8.6275,-9.725,T,90
D701,10.9125,4.525,T,180
D702,3.9375,4.525,T,0
J601,16.7125,-4.425,T,90
Q501,-4.5125,9.275,T,90
R101,-7.4875,-0.35,T,-45
R201,-1.716287,-12.171213,T,-45
R202,1.537465,-10.596213,T,45
R203,-8.266287,-11.046213,T,135
R204,10.8625,-1.75,T,90
R205,10.8625,-7.2,T,90
R206,7.8125,-7.2,T,-90
R207,8.8375,-1.765,T,-90
R301,6.5625,-9.65,T,180
R302,10.4025,-9.775,T,0
R303,10.4025,-8.75,T,0
R401,-6.8875,-12.425,T,-45
R501,-0.1875,8.275,T,90
R502,-2.2375,10.275,T,90
R503,-2.2375,8.285,T,90
R601,8.8375,-7.21,T,-90
R701,9.8875,2.775,T,90
R702,4.9375,2.775,T,90
SW201,0.4375,-16.75,T,0
SW202,-15.5625,-4.925,T,135
U101,-11.738576,-0.700898,T,135
U201,-3.781911,-6.623089,T,45
U301,5.6525,-12.3125,T,0
U401,0,0,T,45
U601,9.3,-4.47,T,180
U701,7.4175,3.555,T,0
Y201,-11.450099,-9.614482,T,-45
