Ref,Val,Package,PosX,PosY,Rot,Side
"J103","CANBUS_IN","AVX-009159010061911",14.963500,2.275000,90.000000,bottom
"J109","MOT_FPC","FPC-SMD_3P-P1.00_HDGC_1.0K-LS-3PWB-BOTTOMCONTACT",12.990088,-12.802588,45.000000,bottom
"J110","MOT_FPC2","FPC-SMD_3P-P1.00_HDGC_1.0K-LS-3PWB-BOTTOMCONTACT",11.502121,-11.311439,-135.000000,bottom
"U501","GC9A01","GC9A01Round1.28_flipped_mount_easy_esc",-0.287500,12.737500,-90.000000,bottom
"C101","0.1u","C_0402_1005Metric",-6.773089,0.385589,-45.000000,top
"C201","0.1u","C_0402_1005Metric",0.998089,-9.060589,-45.000000,top
"C202","0.1u","C_0402_1005Metric",-10.087500,-5.775000,135.000000,top
"C203","0.1u","C_0402_1005Metric",-2.751911,-1.035589,135.000000,top
"C204","0.1u","C_0402_1005Metric",1.712500,-8.350000,-45.000000,top
"C205","20p","C_0402_1005Metric",-12.226911,-12.060589,-45.000000,top
"C206","20p","C_0402_1005Metric",-9.691287,-12.446213,-45.000000,top
"C207","0.1u","C_0402_1005Metric",0.158678,-11.950000,-135.000000,top
"C208","0.1u","C_0402_1005Metric",-8.991287,-11.746213,135.000000,top
"C301","1n","C_0402_1005Metric",6.562500,-8.650000,0.000000,top
"C302","10n","C_0402_1005Metric",10.377500,-10.775000,0.000000,top
"C303","22u","C_0603_1608Metric",9.737500,-15.350000,90.000000,top
"C304","2.2u","C_0402_1005Metric",3.687500,-16.350000,90.000000,top
"C401","0.1u","C_0402_1005Metric",-1.751911,2.010589,-135.000000,top
"C501","0.1u","C_0402_1005Metric",-1.212500,8.300000,-90.000000,top
"C502","0.1u","C_0402_1005Metric",-1.212500,10.275000,-90.000000,top
"C601","47p","C_0402_1005Metric",9.837500,-7.175000,-90.000000,top
"C602","47p","C_0402_1005Metric",9.862500,-1.750000,90.000000,top
"C701","100u","C_1206_3216Metric",6.587500,-15.675000,0.000000,top
"C702","1u","C_0402_1005Metric",10.887500,2.775000,90.000000,top
"C703","100u","C_1206_3216Metric",9.712500,11.650000,180.000000,top
"C704","100u","C_1206_3216Metric",9.712500,9.225000,180.000000,top
"C705","10u","C_0402_1005Metric",12.987500,8.970000,-90.000000,top
"C706","1u","C_0402_1005Metric",3.912500,2.775000,90.000000,top
"C707","10u","C_0402_1005Metric",12.987500,10.875000,90.000000,top
"D101","B5819W","D_SOD-123",9.712500,14.100000,180.000000,top
"D201","USER","D_0603_1608Metric",-0.401911,-10.585589,-135.000000,top
"D301","FAULT","D_0603_1608Metric",8.627500,-9.725000,90.000000,top
"D701","5V","D_0603_1608Metric",10.912500,4.525000,180.000000,top
"D702","3V3","D_0603_1608Metric",3.937500,4.525000,0.000000,top
"J104","CANBUS_OUT","AVX-009159010061911",-14.838500,2.275000,90.000000,top
"J107","EXT_PWR","JST-XH-edgemount-2p",11.692193,17.137500,0.000000,top
"J601","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",16.712500,-4.425000,90.000000,top
"Q501","AO3400A","SOT-23",-4.512500,9.275000,90.000000,top
"R101","120R","R_0402_1005Metric",-7.487500,-0.350000,-45.000000,top
"R201","5.1k","R_0402_1005Metric",-1.716287,-12.171213,-45.000000,top
"R202","10k","R_0402_1005Metric",1.537465,-10.596213,45.000000,top
"R203","10k","R_0402_1005Metric",-8.266287,-11.046213,135.000000,top
"R204","5.1k","R_0402_1005Metric",10.862500,-1.750000,90.000000,top
"R205","5.1k","R_0402_1005Metric",10.862500,-7.200000,90.000000,top
"R206","22R","R_0402_1005Metric",7.812500,-7.200000,-90.000000,top
"R207","22R","R_0402_1005Metric",8.837500,-1.765000,-90.000000,top
"R301","18k","R_0402_1005Metric",6.562500,-9.650000,180.000000,top
"R302","18k","R_0402_1005Metric",10.402500,-9.775000,0.000000,top
"R303","3.3k","R_0402_1005Metric",10.402500,-8.750000,0.000000,top
"R401","10k","R_0402_1005Metric",-6.887500,-12.425000,-45.000000,top
"R501","10k","R_0402_1005Metric",-0.187500,8.275000,90.000000,top
"R502","22R","R_0402_1005Metric",-2.237500,10.275000,90.000000,top
"R503","10k","R_0402_1005Metric",-2.237500,8.285000,90.000000,top
"R601","1.5k","R_0402_1005Metric",8.837500,-7.210000,-90.000000,top
"R701","5.1k","R_0402_1005Metric",9.887500,2.775000,90.000000,top
"R702","3.3k","R_0402_1005Metric",4.937500,2.775000,90.000000,top
"SW201","DFU","TS-1187A-B-A-B",0.437500,-16.750000,0.000000,top
"SW202","RESET","TS-1187A-B-A-B",-15.562500,-4.925000,135.000000,top
"U101","SN65HVD230","SOIC-8_3.9x4.9mm_P1.27mm",-11.738576,-0.700898,135.000000,top
"U201","STM32G431","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",-3.781911,-6.623089,45.000000,top
"U301","STSPIN233","VQFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm",5.652500,-12.312500,0.000000,top
"U401","MT6701","QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm",0.000000,0.000000,45.000000,top
"U601","SRV05-4","SOT-23-6",9.300000,-4.470000,180.000000,top
"U701","XC6206","SOT-23",7.417500,3.555000,0.000000,top
"Y201","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",-11.450099,-9.614482,-45.000000,top
